,id,latitude,longitude,time
0,1607864205586049793_3432694626,40.411070579405,-3.6830847771771,2017-09-20 04:26:11
1,1607864173021553733_1602857412,40.42815,-3.68603,2017-09-20 04:26:07
2,1607864055790484368_326915643,40.41396,-3.70335,2017-09-20 04:25:53
3,1607864025289836003_2534428023,40.4200299,-3.70027,2017-09-20 04:25:49
4,1607863964371453406_277155050,40.4,-3.68333,2017-09-20 04:25:42
5,1607863884337440531_1976142992,40.4,-3.68333,2017-09-20 04:25:33
6,1607863864731439257_1361441996,40.44317,-3.68226,2017-09-20 04:25:30
7,1607863864094305334_5511085336,40.4183004373,-3.70945134997,2017-09-20 04:25:30
8,1607863680602811237_246292734,40.4,-3.68333,2017-09-20 04:25:08
9,1607863662331454334_3637135339,40.42613,-3.70164,2017-09-20 04:25:06
10,1607863486372085327_4673794866,40.4,-3.68333,2017-09-20 04:24:45
11,1607863481138574846_307486157,40.4,-3.68333,2017-09-20 04:24:45
12,1607863469855792739_5747641103,40.4,-3.68333,2017-09-20 04:24:43
13,1607863463353532910_37848292,40.41323,-3.69657,2017-09-20 04:24:42
14,1607863419187274903_343252038,40.41495,-3.7108,2017-09-20 04:24:37
15,1607863384820535654_3860673707,40.42637,-3.68353,2017-09-20 04:24:33
16,1607863361155172728_5476470837,40.4,-3.68333,2017-09-20 04:24:30
17,1607863341913250632_471222443,40.4,-3.68333,2017-09-20 04:24:28
18,1607863269526143422_32107004,40.4,-3.68333,2017-09-20 04:24:19
19,1607863218977249163_178590899,40.4231415,-3.7044499,2017-09-20 04:24:13
20,1607863150626366155_612397521,40.414263031562,-3.7174337800365,2017-09-20 04:24:05
21,1607863137750781389_1534224,40.41742,-3.70438,2017-09-20 04:24:04
22,1607863127987159967_4016577402,40.40184,-3.67331,2017-09-20 04:24:02
23,1607863056398141956_3226417470,40.4171,-3.70176,2017-09-20 04:23:54
24,1607863054484149277_474234015,40.452182635082,-3.6907117140246,2017-09-20 04:23:54
25,1607863022566929776_2313369906,40.4,-3.68333,2017-09-20 04:23:50
27,1607862978401368640_544385961,40.417063727933,-3.7035201752774,2017-09-20 04:23:45
28,1607862956817054477_1368283359,40.40486,-3.71052,2017-09-20 04:23:42
29,1607862938572174594_319575938,40.4559402,-3.69978,2017-09-20 04:23:40
31,1607862879675398417_3220301654,40.4,-3.68333,2017-09-20 04:23:33
34,1607862841673918132_3432694626,40.42015,-3.68963,2017-09-20 04:23:28
35,1607862802341301207_3844793805,40.4,-3.68333,2017-09-20 04:23:24
36,1607862760146526865_1346190813,40.41273,-3.70171,2017-09-20 04:23:19
37,1607862618587171881_510900178,40.4,-3.68333,2017-09-20 04:23:02
38,1607862534551239555_1416360996,40.43501,-3.70181,2017-09-20 04:22:52
39,1607862500594045840_4257823029,40.4,-3.68333,2017-09-20 04:22:48
41,1607862484194837098_4115940135,40.4,-3.68333,2017-09-20 04:22:46
42,1607862451596422659_1631883146,40.42749,-3.69034,2017-09-20 04:22:42
43,1607862379303377363_3860673707,40.42637,-3.68353,2017-09-20 04:22:33
45,1607862219960332309_13369711,40.4,-3.68333,2017-09-20 04:22:14
46,1607862171375262873_287017109,40.41782,-3.6962,2017-09-20 04:22:08
47,1607862145270039786_4674985474,40.4,-3.68333,2017-09-20 04:22:05
49,1607862080258323923_187265171,40.4,-3.68333,2017-09-20 04:21:58
50,1607862032401423133_51941249,40.4,-3.68333,2017-09-20 04:21:52
52,1607862011605302870_1416360996,40.43501,-3.70181,2017-09-20 04:21:49
53,1607861936586035687_5860760,40.42704,-3.70922,2017-09-20 04:21:40
54,1607861914833319259_5562663998,40.4,-3.68333,2017-09-20 04:21:38
56,1607861898258615382_208442758,40.4,-3.68333,2017-09-20 04:21:36
58,1607861593584407108_263450417,40.4,-3.68333,2017-09-20 04:20:59
59,1607861475086817858_434702993,40.42204,-3.7062,2017-09-20 04:20:45
60,1607861413974869102_1644751168,40.418333,-3.714167,2017-09-20 04:20:38
61,1607861341926171757_1394870130,40.42373,-3.69164,2017-09-20 04:20:29
62,1607861231079116672_1416360996,40.43501,-3.70181,2017-09-20 04:20:16
63,1607861148282102702_2291570467,40.4,-3.68333,2017-09-20 04:20:06
64,1607861107171480406_201007486,40.4,-3.68333,2017-09-20 04:20:02
65,1607860934416328039_35000497,40.425055529849,-3.6928704273594,2017-09-20 04:19:41
71,1607860898544759749_5475502749,40.4323,-3.69772,2017-09-20 04:19:37
72,1607860788957808352_2961595516,40.43569,-3.71442,2017-09-20 04:19:24
73,1607860694787002458_266529153,40.4,-3.68333,2017-09-20 04:19:12
74,1607860684652263099_2110295922,40.42457,-3.69705,2017-09-20 04:19:11
75,1607860533950825172_3320928439,40.4,-3.68333,2017-09-20 04:18:53
76,1607860532113632890_1069373105,40.4,-3.68333,2017-09-20 04:18:53
